1499,"A. ORANGE","255255255"
2211,"SCRLT","255255255"
1797,"STEALTH","255255255"
46,".","255255255"
50,".","255255255"
55,".","255255255"
60,".","255255255"
1,"ABOBORA","255255255"
57,"ACAFRAO","221182020"
187,"ACAI","255255255"
1496,"ACCENT OLIVE","255255255"
1250,"ACID MINT","255255255"
1251,"ACID ORANGE","255255255"
1899,"ACID RED","255255255"
1252,"ACID YELLOW","255255255"
1896,"ACOBREADO MTEAL","255255255"
67,"ACQUA","255255255"
291,"ACQUARIUS","255255255"
2387,"ACTION GRAPE","255255255"
2364,"ACTION GREEN","255255255"
825,"ACTIVE FUCHSIA","255255255"
500,"ACTIVE GOLD","255255255"
448,"ACTIVE GREEN","255255255"
423,"ACTIVE MAROON","255255255"
463,"ACTIVE ORANGE","255255255"
511,"ACTIVE PINK","255255255"
392,"ACTIVE PURPLE","255255255"
432,"ACTIVE RED","255255255"
442,"ACTIVE TEAL","255255255"
1001,"ACTIVE TEAL","255255255"
2361,"ADOBE","255255255"
480,"AERO BLUE S18","255255255"
1253,"AERO GREEN","255255255"
356,"AGUA","255255255"
1014,"ALABASTER","255255255"
1858,"ALARMING","255255255"
2189,"ALE BROWN","255255255"
895,"ALGODAO DOCE","255255255"
2152,"ALLIGATOR","255255255"
2278,"ALLIGATOR GCW#5","255255255"
1329,"ALLOY","255255255"
1900,"ALMOST PINK","255255255"
2137,"ALMOST BLUE","255255255"
828,"ALPHA ORANGE","255255255"
1901,"ALTER. BLUE","255255255"
2148,"ALTERED AMBER","255255255"
953,"ALUMIN","255255255"
745,"ALUMINA","255255255"
285,"ALUMINIO","255255255"
1458,"ALUMINUM","255255255"
2329,"ALURE","255255255"
345,"AMARELO GEMA","255255255"
30,"AMARELO","255255255"
2079,"AMARELO MOSTDA","255255255"
2080,"AMARELO DOURADO","255255255"
2081,"AMARELO ALRJDO","255255255"
2105,"AMARELO ALARANJ","241144053"
2050,"AMARELO ANTIGO","255255255"
68,"AMARELO BANANA","250225153"
2451,"AMARELO BEBE","255255255"
254,"AMARELO BRILHAN","244191058"
69,"AMARELO CITRICO","255255255"
2432,"AMARELO CANARIO","255255255"
70,"AMARELO CITRIC2","255255255"
257,"AMARELO CLARO","255255255"
253,"AMARELO CONGELA","255255255"
201,"AMARELO CROMO","255255255"
340,"AMARELO FLUOR","255255255"
2086,"AMARELO FRIO","255255255"
1182,"AMARELO GLITTER","255255255"
323,"AMARELO LED","255255255"
330,"AMARELO LED FLU","255255255"
71,"AMARELO LIGHT","253216120"
736,"AMARELO LIMAO","199182060"
2119,"AMARELO MANGO","255255051"
2106,"AMARELO MOSTARD","255255255"
72,"AMARELO NEON","255255255"
1248,"AMARELO OURO","255255255"
